Name,Date,Time (East Coast),Location,Crewed or Uncrewed,Launched?,High Temp,Low Temp,Ave Temp,Temp at Launch Time,Hist High Temp,Hist Low Temp,Hist Ave Temp,Percipitation at Launch Time,Hist Ave Percipitation,Wind Direction,Max Wind Speed,Visibility,Wind Speed at Launch Time,Hist Ave Max Wind Speed,Hist Ave Visibility,Sea Level Pressure,Hist Ave Sea Level Pressure,Day Length,Condition,Notes
,1958-12-04 00:00:00,,Cape Canaveral,,,75.0,68.0,71.0,,75.0,55.0,65.0,0.0,0.08,E,16.0,15.0,,,,30.22,,10:26:00,Cloudy,
,1958-12-05 00:00:00,,Cape Canaveral,,,78.0,70.0,73.39,,75.0,55.0,65.0,0.0,0.09,E,14.0,10.0,,,,30.2,,10:26:00,Cloudy,
Pioneer 3,1958-12-06 00:00:00,01:45:00,Cape Canaveral,Uncrewed,Y,73.0,0.0,60.21,62.0,75.0,55.0,65.0,0.0,0.09,NE,15.0,10.0,11.0,,,30.25,,10:25:00,Cloudy,
,1958-12-07 00:00:00,,Cape Canaveral,,,76.0,57.0,66.04,,75.0,55.0,65.0,0.0,0.08,N,10.0,10.0,,,,30.28,,10:25:00,Partly Cloudy,
,1958-12-08 00:00:00,,Cape Canaveral,,,79.0,60.0,70.52,,75.0,55.0,65.0,0.0,0.09,E,12.0,10.0,,,,30.23,,12:24:00,Partly Cloudy,
,1959-03-01 00:00:00,,Cape Canaveral,,,78.0,0.0,60.92,,75.0,53.0,64.0,0.0,0.1,SE,10.0,10.0,,,,30.13,,11:35:00,Cloudy,
,1959-03-02 00:00:00,,Cape Canaveral,,,82.0,0.0,65.12,,75.0,54.0,64.0,0.0,0.09,E,13.0,10.0,,,,30.19,,11:37:00,Partly Cloudy,
Pioneer 4,1959-03-03 00:00:00,13:10:00,Cape Canaveral,Uncrewed,Y,78.0,0.0,69.65,78.0,75.0,54.0,64.0,0.0,0.1,SE,20.0,7.0,12.0,,,30.13,,11:38:00,Cloudy,
,1959-03-04 00:00:00,,Cape Canaveral,,,77.0,0.0,66.72,,75.0,54.0,65.0,0.0,0.1,SE,21.0,7.0,,,,30.11,,11:40:00,Cloudy,
,1959-03-05 00:00:00,,Cape Canaveral,,,81.0,67.0,72.63,,75.0,54.0,65.0,0.0,0.1,SE,17.0,10.0,,,,30.12,,11:42:00,Cloudy,
,1961-08-21 00:00:00,,Cape Canaveral,,,86.0,0.0,58.63,,90.0,73.0,82.0,0.0,0.24,W,16.0,7.0,,,,29.98,,12:58:00,Cloudy,
,1961-08-22 00:00:00,,Cape Canaveral,,,90.0,0.0,78.8,,90.0,73.0,82.0,0.0,0.25,E,15.0,10.0,,,,30.03,,12:57:00,Cloudy,
Ranger 1,1961-08-23 00:00:00,11:04:00,Cape Canaveral,Uncrewed,Y,91.0,80.0,85.35,90.0,90.0,73.0,82.0,0.0,0.24,SE,20.0,10.0,9.0,,,30.03,,12:56:00,Partly Cloudy,
,1961-08-24 00:00:00,,Cape Canaveral,,,91.0,0.0,81.32,,90.0,73.0,82.0,0.0,0.25,E,15.0,10.0,,,,30.01,,12:54:00,Mostly Cloudy,
,1961-08-25 00:00:00,,Cape Canaveral,,,90.0,79.0,84.54,,90.0,73.0,82.0,0.0,0.25,NE,16.0,10.0,,,,29.99,,12:53:00,Partly Cloudy,
,1961-11-16 00:00:00,,Cape Canaveral,,,80.0,46.0,62.75,,78.0,59.0,69.0,0.0,0.09,W,13.0,10.0,,,,30.01,,10:43:00,Fair,
,1961-11-17 00:00:00,,Cape Canaveral,,,74.0,0.0,60.12,,78.0,59.0,69.0,0.0,0.09,NW,23.0,15.0,,,,29.98,,10:42:00,Windy,
Ranger 2,1961-11-18 00:00:00,09:09:00,Cape Canaveral,Uncrewed,Y,76.0,49.0,62.0,54.0,78.0,59.0,69.0,0.0,0.08,N,12.0,15.0,6.0,,,30.04,,10:41:00,Fair,
,1961-11-19 00:00:00,,Cape Canaveral,,,77.0,48.0,63.25,,78.0,59.0,68.0,0.0,0.08,W,10.0,10.0,,,,30.08,,10:40:00,Fair,
,1961-11-20 00:00:00,,Cape Canaveral,,,83.0,55.0,69.0,,78.0,58.0,68.0,0.0,0.07,W,17.0,10.0,,,,30.03,,10:39:00,Fair,
,1962-01-24 00:00:00,,Cape Canaveral,,,70.0,0.0,56.68,,72.0,49.0,61.0,0.0,0.08,NW,15.0,10.0,,,,30.08,,10:43:00,Cloudy,
,1962-01-25 00:00:00,,Cape Canaveral,,,68.0,47.0,58.78,,72.0,49.0,61.0,0.0,0.08,E,12.0,20.0,,,,30.13,,10:44:00,Fair,
Ranger 3,1962-01-26 00:00:00,21:30:00,Cape Canaveral,Uncrewed,Y,65.0,51.0,56.55,53.0,72.0,79.0,61.0,0.0,0.08,N,22.0,10.0,17.0,,,30.2,,10:45:00,Fair,
,1962-01-27 00:00:00,,Cape Canaveral,,,65.0,41.0,53.48,,72.0,50.0,61.0,0.0,0.08,E,17.0,10.0,,,,30.27,,10:46:00,Partly Cloudy,
,1962-01-28 00:00:00,,Cape Canaveral,,,70.0,0.0,57.75,,72.0,50.0,61.0,0.0,0.08,NE,60.0,10.0,,,,30.3,,10:47:00,Partly Cloudy,
